model lang,fact lang,model,init method,iter method,overall,single_word,multi_word,explicit,non_explicit
nl,hu,xlm_base,confidence,none,0.014742014742014743,0.03125,0.014587430158878797,0.033906633906633905,0.0032432432432432435
nl,hu,xlm_base,confidence,left,0.015417690417690418,0.03125,0.015278037893685427,0.03570843570843571,0.0032432432432432435
nl,hu,xlm_base,confidence,confidence,0.015417690417690418,0.03125,0.015278037893685427,0.03570843570843571,0.0032432432432432435
hu,en,mbert_base,all,none,0.0012690355329949238,0.025,0.0,0.0,0.002030456852791878
hu,en,mbert_base,all,left,0.0012690355329949238,0.025,0.0,0.0,0.002030456852791878
hu,en,mbert_base,all,confidence,0.0019003486643080552,0.025,0.0011904761904761906,0.0,0.0030405578628928884
hu,en,mbert_base,left,none,0.0019003486643080552,0.025,0.0011904761904761906,0.0,0.0030405578628928884
hu,en,mbert_base,left,left,0.0019003486643080552,0.025,0.0011904761904761906,0.0,0.0030405578628928884
hu,en,mbert_base,left,confidence,0.0019003486643080552,0.025,0.0011904761904761906,0.0,0.0030405578628928884
hu,en,mbert_base,confidence,none,0.0019003486643080552,0.025,0.0011904761904761906,0.0,0.0030405578628928884
hu,en,mbert_base,confidence,left,0.0019003486643080552,0.025,0.0011904761904761906,0.0,0.0030405578628928884
hu,en,mbert_base,confidence,confidence,0.0019003486643080552,0.025,0.0011904761904761906,0.0,0.0030405578628928884
hu,en,xlm_base,all,none,0.0,0.0,0.0,0.0,0.0
hu,en,xlm_base,all,left,0.00125,0.0,0.00125,0.0033333333333333335,0.0
hu,en,xlm_base,all,confidence,0.0,0.0,0.0,0.0,0.0
hu,en,xlm_base,left,none,0.0,0.0,0.0,0.0,0.0
hu,en,xlm_base,left,left,0.0,0.0,0.0,0.0,0.0
hu,en,xlm_base,left,confidence,0.0,0.0,0.0,0.0,0.0
hu,en,xlm_base,confidence,none,0.00020833333333333335,0.0,0.00020868113522537563,0.0005555555555555556,0.0
hu,en,xlm_base,confidence,left,0.0008333333333333334,0.0,0.0008336811352253757,0.0022222222222222222,0.0
hu,en,xlm_base,confidence,confidence,0.0008333333333333334,0.0,0.0008336811352253757,0.0022222222222222222,0.0
hu,nl,mbert_base,all,none,0.0,0.0,0.0,0.0,0.0
hu,nl,mbert_base,all,left,0.0,0.0,0.0,0.0,0.0
hu,nl,mbert_base,all,confidence,0.0,0.0,0.0,0.0,0.0
hu,nl,mbert_base,left,none,0.0,0.0,0.0,0.0,0.0
hu,nl,mbert_base,left,left,0.0,0.0,0.0,0.0,0.0
hu,nl,mbert_base,left,confidence,0.0,0.0,0.0,0.0,0.0
hu,nl,mbert_base,confidence,none,0.0,0.0,0.0,0.0,0.0
hu,nl,mbert_base,confidence,left,0.0,0.0,0.0,0.0,0.0
hu,nl,mbert_base,confidence,confidence,0.0,0.0,0.0,0.0,0.0
hu,nl,xlm_base,all,none,0.0006476683937823834,0.0026595744680851063,0.0,0.0,0.0010362694300518134
hu,nl,xlm_base,all,left,0.0,0.0,0.0,0.0,0.0
hu,nl,xlm_base,all,confidence,0.0006476683937823834,0.0026595744680851063,0.0,0.0,0.0010362694300518134
hu,nl,xlm_base,left,none,0.0,0.0,0.0,0.0,0.0
hu,nl,xlm_base,left,left,0.0,0.0,0.0,0.0,0.0
hu,nl,xlm_base,left,confidence,0.0,0.0,0.0,0.0,0.0
hu,nl,xlm_base,confidence,none,0.0,0.0,0.0,0.0,0.0
hu,nl,xlm_base,confidence,left,0.0,0.0,0.0,0.0,0.0
hu,nl,xlm_base,confidence,confidence,0.0,0.0,0.0,0.0,0.0
hu,hu,mbert_base,all,none,0.0,0.0,0.0,0.0,0.0
hu,hu,mbert_base,all,left,0.0,0.0,0.0,0.0,0.0
hu,hu,mbert_base,all,confidence,0.0,0.0,0.0,0.0,0.0
hu,hu,mbert_base,left,none,0.0,0.0,0.0,0.0,0.0
hu,hu,mbert_base,left,left,0.0,0.0,0.0,0.0,0.0
hu,hu,mbert_base,left,confidence,0.0,0.0,0.0,0.0,0.0
hu,hu,mbert_base,confidence,none,0.0,0.0,0.0,0.0,0.0
hu,hu,mbert_base,confidence,left,0.0,0.0,0.0,0.0,0.0
hu,hu,mbert_base,confidence,confidence,0.0,0.0,0.0,0.0,0.0
hu,hu,xlm_base,all,none,0.001875,0.0026595744680851063,0.0,0.0,0.003
hu,hu,xlm_base,all,left,0.003125,0.0026595744680851063,0.00125,0.0,0.005
hu,hu,xlm_base,all,confidence,0.003125,0.0026595744680851063,0.00125,0.0,0.005
hu,hu,xlm_base,left,none,0.001875,0.0026595744680851063,0.0,0.0,0.003
hu,hu,xlm_base,left,left,0.001875,0.0026595744680851063,0.0,0.0,0.003
hu,hu,xlm_base,left,confidence,0.001875,0.0026595744680851063,0.0,0.0,0.003
hu,hu,xlm_base,confidence,none,0.003125,0.0026595744680851063,0.00125,0.0,0.005
hu,hu,xlm_base,confidence,left,0.003125,0.0026595744680851063,0.00125,0.0,0.005
hu,hu,xlm_base,confidence,confidence,0.003125,0.0026595744680851063,0.00125,0.0,0.005
